cluster_name                                             labels  nodename                  time  type       value
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:25:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:26:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:27:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:28:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:29:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:30:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:31:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:32:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:33:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:34:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:35:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:36:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:37:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:38:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:39:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:40:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:41:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:42:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:43:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:44:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:45:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:46:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:47:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:48:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:49:00Z  node  8360730624
     default  beta.kubernetes.io/arch:amd64,beta.kubernetes....  minikube  2019-04-26T20:50:00Z  node  8360730624
